LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Status
C5336471,M601B,Mysentech,DFN-8(2x2),-70℃~+150℃ 1-Wire ±0.5℃ DFN-8(2x2) Temperature Sensors ROHS,YES,10,0.2655,2.66,-
C22367236,AO3481-HXY,HXY MOSFET,SOT-23-3L,30V 4.2A 1.2W 130mΩ@2.5V 1.3V@250uA 1 P-Channel SOT-23-3L MOSFETs ROHS,YES,20,0.0255,0.51,-
C4748804,AO3400-HXY,HXY MOSFET,SOT-23,"30V 5.8A 30mΩ@10V,5.8A 1.4W 700mV 1 N-Channel SOT-23 MOSFETs ROHS",YES,20,0.019,0.38,-
C19630788,AO3415A-HXY,HXY MOSFET,SOT-23,"20V 4.1A 45mΩ@4.5V,4A 1.4W 900mV@250uA SOT-23 MOSFETs ROHS",YES,10,0.0462,0.46,-
C780859,MMBT3906LP-7B,Diodes Incorporated,DFN-3(1x0.6),"40V 100@10mA,1.0V 1W 200mA PNP DFN-3(1x0.6) Bipolar (BJT) ROHS",YES,10,0.0697,0.7,-
C460099,MMBT3904LP-7,Diodes Incorporated,DFN-3(1x0.6),"40V 100@10mA,1.0V 1W 200mA NPN DFN-3(1x0.6) Bipolar (BJT) ROHS",YES,10,0.0324,0.32,-
C22392238,IDC1.27-US2S-3A,XYECONN,"SMD,P=1.27mm","1.27mm -40℃~+105℃ Surface Mount,Vertical 1A Gold Brass 2x3P 3 IDC Header 1.27mm 2 SMD,P=1.27mm IDC Connectors ROHS",YES,10,0.0783,0.78,-
C22392240,IDC1.27-US2S-5A,XYECONN,"SMD,P=1.27mm","1.27mm -40℃~+105℃ Surface Mount,Vertical 1A Gold Brass 2x5P 5 IDC Header 1.27mm 2 SMD,P=1.27mm IDC Connectors ROHS",YES,10,0.1713,1.71,-
C19627017,LESD5D5.0CT1G-HXY,HXY MOSFET,SOD-523,9A@8/20us 90W@8/20us 18.6V 7.8V Bidirectional 5V SOD-523 ESD and Surge Protection (TVS/ESD) ROHS,YES,100,0.0131,1.31,-
C7519,USBLC6-2SC6,STMicroelectronics,SOT-23-6L,5A 17V 6V Unidirectional 5.25V SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS,YES,5,0.1082,0.54,-
C26537,NCP1117ST33T3G,onsemi,SOT-223,"62dB@(120Hz) 1A Fixed 3.3V Positive 20V SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,20,0.2905,5.81,-
C488349,IP5306-I2C,INJOINIC,ESOP-8,4.75V~5.5V Lithium Battery 2.1A ESOP-8 Battery Management ROHS,YES,10,0.2693,2.69,-
C5736265,ESP32-C6-MINI-1-N4,Espressif Systems,SMD-53P,SMD-53P WiFi Modules ROHS,YES,2,4.6134,9.23,-
C22458776,Open-ColorEasyDuino-Green,ColorEasyDuino,-,Development Boards & Kits ROHS,YES,1,10.38,10.38,-
C15651,RT9193-33GB,Richtek Tech,SOT-23-5,"300mA -50dB@(10kHz) Fixed 3.3V Positive 5.5V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,5,0.1123,0.56,-
C50936,HT7833,Holtek Semicon,SOT-89-3,"500mA Fixed 3.3V Positive 8V SOT-89-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,5,0.2825,1.41,-
C725790,TP4056,"UMW(Youtai Semiconductor Co., Ltd.)",ESOP-8,3.7V~6.5V Lithium-ion 1 1A ESOP-8 Battery Management ROHS,YES,10,0.0576,0.58,-
