LCSC Part Number,product_url,name,brand,sku,description,price,currency,image_url
C369599,https://www.lcsc.com/product-detail/C369599.html,UMW 30N06,UMW,C369599,N-Channel 60V 30A 55W Surface Mount TO-252,0.0593,USD,https://assets.lcsc.com/images/lcsc/900x900/20251013_UMW-30N06_C369599_front.jpg
C5354981,https://www.lcsc.com/product-detail/C5354981.html,UMW FDD6685(UMW),UMW,C5354981,P-Channel 30V 40A 52W Surface Mount TO-252,0.0554,USD,https://assets.lcsc.com/images/lcsc/900x900/20240314_UMW-Youtai-Semiconductor-Co---Ltd--FDD6685-UMW_C5354981_front.jpg
C462641,https://www.lcsc.com/product-detail/C462641.html,ADI LT3092ETS8#TRPBF,ADI,C462641,200mA TSOT-23-8 Current Regulation/Management RoHS,2.9516,USD,https://assets.lcsc.com/images/lcsc/900x900/20230118_Analog-Devices-LT3092ETS8-TRPBF_C462641_front.jpg
C579096,https://www.lcsc.com/product-detail/C579096.html,ADI ADG714BRUZ,ADI,C579096,"8 2.5Ω TSSOP-24 Analog Switches, Multiplexers, Demultiplexers RoHS",3.3469,USD,https://assets.lcsc.com/images/lcsc/900x900/20230707_Analog-Devices-ADG714BRUZ_C579096_front.jpg
C42420608,https://www.lcsc.com/product-detail/C42420608.html,UMW TCA9555PWR(UMW),UMW,C42420608,16 I2C TSSOP-24 I/O Expanders RoHS,0.1701,USD,https://assets.lcsc.com/images/lcsc/900x900/20250327_UMW-Youtai-Semiconductor-Co---Ltd--TCA9555PWR-UMW_C42420608_front.jpg
C5274531,https://www.lcsc.com/product-detail/C5274531.html,kinghelm KH-MMCX-JE,kinghelm,C5274531,Connector Receptacle MMCX,0.4225,USD,https://assets.lcsc.com/images/lcsc/900x900/20230125_Shenzhen-Kinghelm-Elec-KH-MMCX-JE_C5274531_front.jpg
C7421403,https://www.lcsc.com/product-detail/C7421403.html,XUNPU RJ45-005-034-11,XUNPU,C7421403,RJ45 Jack Shielded 1 Laminated board With LED -40℃~+85℃ Through Hole Modular/Ethernet Connector Jacks RoHS,0.4612,USD,https://assets.lcsc.com/images/lcsc/900x900/20230607_XUNPU-RJ45-005-034-11_C7421403_front.jpg
C96493,https://www.lcsc.com/product-detail/C96493.html,Huaneng HNB09A05,Huaneng,C96493,"Buzzers Active Buzzer (Built-in Driving Circuit) Magnetic 3V~7V 3kHz 85dB Through Hole,D=9mm",0.1068,USD,https://assets.lcsc.com/images/lcsc/900x900/20221231_Jiangsu-Huaneng-Elec-HNB09A05_C96493_front.jpg
C27438,https://www.lcsc.com/product-detail/C27438.html,BOOMELE(Boom Precision Elec) 2.54-1*8P,BOOMELE(Boom Precision Elec),C27438,Female Header 8 Position 2.54mm Pitch Single Row Through Hole,0.0482,USD,https://assets.lcsc.com/images/lcsc/900x900/20251020_BOOMELE-Boom-Precision-Elec-2-54-1-8P_C27438_front.jpg
C261457,https://www.lcsc.com/product-detail/C261457.html,STE MF0703002M4BP0CST0,STE,C261457,"NTC Thermistor 3Ω Through Hole,P=5mm",0.0319,USD,https://assets.lcsc.com/images/lcsc/900x900/20180914_STE-Songtian-Elec-MF0703002M4BP0CST0_C261457_front_10.jpg
C485916,https://www.lcsc.com/product-detail/C485916.html,TI TPS2121RUXR,TI,C485916,"56mΩ VQFN-HR-12(2x2.5) OR Controllers, Ideal Diodes RoHS",0.5577,USD,https://assets.lcsc.com/images/lcsc/900x900/20230119_Texas-Instruments-TPS2121RUXR_C485916_front.jpg
C15483,https://www.lcsc.com/product-detail/C15483.html,TI TPS63020DSJR,TI,C15483,2.4MHz Buck-Boost Adjustable 1.2V~5.5V 3A VSON-14-EP(3x4) Voltage Regulators - DC DC Switching Regulators RoHS,0.3414,USD,https://assets.lcsc.com/images/lcsc/900x900/20200910_Texas-Instruments-TPS63020DSJR_C15483_front.jpg
C2870151,https://www.lcsc.com/product-detail/C2870151.html,TI INA229AQDGSRQ1,TI,C2870151,-300mV~85V 300nV 100pA VSSOP-10-0.5mm Current Regulation/Management RoHS,3.1778,USD,https://assets.lcsc.com/images/lcsc/900x900/20230410_Texas-Instruments-INA229AQDGSRQ1_C2870151_front.jpg
C461817,https://www.lcsc.com/product-detail/C461817.html,DIODES DESD3V3E1BL-7B,DIODES,C461817,7VC Clamp 5A@8/20us Ipp ESD DIODE X1-DFN1006-2,0.0232,USD,https://assets.lcsc.com/images/lcsc/900x900/20230118_Diodes-Incorporated-DESD3V3E1BL-7B_C461817_front.jpg
